qyear,category,count,total,pct
1102012,basic_resource,45727,192918,0.237028167
1102012,collectible,28938,192918,0.150001555
1102012,drink,19031,192918,0.09864813
1102012,croppery_gardening_supplies,14717,192918,0.076286298
1102012,advanced_resource,10149,192918,0.052607844
1102012,herbalism_supplies,9250,192918,0.047947833
1102012,food,8481,192918,0.043961683
1102012,tinctures_potions,8096,192918,0.041966017
1102012,upgrade_card,7265,192918,0.037658487
1102012,emblems_icons,6477,192918,0.03357385
1102012,furniture-storage,4585,192918,0.023766574
1102012,alchemy,4136,192918,0.021439161
1102012,tool,4016,192918,0.020817135
1102012,key,3988,192918,0.020671995
1102012,herdkeepingsupplies,3455,192918,0.017909163
1102012,furniture-walls,2402,192918,0.012450886
1102012,furniture-decorations,1870,192918,0.009693238
1102012,machineparts_products,1790,192918,0.009278554
1102012,bureaucracy,1391,192918,0.007210317
1102012,other,1235,192918,0.006401684
1102012,furniture-seating,970,192918,0.005028043
1102012,gassesbubbles,910,192918,0.00471703
1102012,furniture-tables,880,192918,0.004561524
1102012,toys,649,192918,0.003364124
1102012,furniture-lights,611,192918,0.003167149
1102012,spice,481,192918,0.002493287
1102012,furniture-shelves,407,192918,0.002109705
1102012,furniture-doors,397,192918,0.002057869
1102012,furniture-rugs,386,192918,0.00200085
1102012,furniture-beds,228,192918,0.001181849
1112011,food,85778,235910,0.363604765
1112011,other,36762,235910,0.155830613
1112011,musicblock,25334,235910,0.107388411
1112011,drink,19942,235910,0.084532237
1112011,resources,18556,235910,0.078657115
1112011,seed,10633,235910,0.045072273
1112011,elements_powder,10300,235910,0.043660718
1112011,animals,7784,235910,0.032995634
1112011,herb,6478,235910,0.027459624
1112011,tools,6425,235910,0.027234962
1112011,key,5316,235910,0.022534017
1112011,machines,557,235910,0.00236107
1112011,basic_resource,491,235910,0.002081302
1112011,collectible,475,235910,0.00201348
1112011,crops_herbs_seeds_beans,336,235910,0.001424272
1112011,alchemy,223,235910,0.000945276
1112011,herdkeepingsupplies,144,235910,0.000610402
1112011,gassesbubbles,113,235910,0.000478996
1112011,advanced_resource,100,235910,0.00042389
1112011,tool,100,235910,0.00042389
1112011,bureaucracy,32,235910,0.000135645
1112011,spice,28,235910,0.000118689
1112011,machineparts_products,3,235910,1.27167E-05
1112012,basic_resource,29731,148287,0.200496335
1112012,collectible,23362,148287,0.15754584
1112012,drink,12120,148287,0.081733395
1112012,croppery_gardening_supplies,9563,148287,0.064489807
1112012,advanced_resource,9214,148287,0.062136263
1112012,emblems_icons,7697,148287,0.051906101
1112012,food,7651,148287,0.051595892
1112012,herbalism_supplies,6792,148287,0.045803071
1112012,furniture-storage,6136,148287,0.041379217
1112012,tinctures_potions,5847,148287,0.039430294
1112012,upgrade_card,5451,148287,0.036759797
1112012,key,3163,148287,0.021330258
1112012,alchemy,2713,148287,0.018295602
1112012,tool,2695,148287,0.018174216
1112012,herdkeepingsupplies,2635,148287,0.017769595
1112012,furniture-decorations,2087,148287,0.014074059
1112012,other,1780,148287,0.012003749
1112012,machineparts_products,1570,148287,0.010587577
1112012,furniture-walls,1506,148287,0.010155981
1112012,spice,1047,148287,0.007060632
1112012,bureaucracy,1007,148287,0.006790885
1112012,furniture-seating,830,148287,0.005597254
1112012,toys,703,148287,0.004740807
1112012,furniture-tables,657,148287,0.004430597
1112012,furniture-lights,642,148287,0.004329442
1112012,gassesbubbles,586,148287,0.003951796
1112012,furniture-rugs,339,148287,0.002286107
1112012,furniture-doors,285,148287,0.001921949
1112012,furniture-shelves,282,148287,0.001901718
1112012,furniture-beds,196,148287,0.001321761
1012012,basic_resource,105919,345650,0.306434254
1012012,collectible,49785,345650,0.144032981
1012012,drink,43071,345650,0.124608708
1012012,food,24737,345650,0.071566614
1012012,herbalism_supplies,24614,345650,0.071210762
1012012,croppery_gardening_supplies,24126,345650,0.06979893
1012012,tinctures_potions,15869,345650,0.045910603
1012012,advanced_resource,11975,345650,0.034644872
1012012,alchemy,10760,345650,0.031129756
1012012,herdkeepingsupplies,9326,345650,0.02698105
1012012,key,8579,345650,0.024819905
1012012,tool,6402,345650,0.018521626
