"clicked","month","Casual Forum","Casual Losers","Casual Winners","Casual","Moderate Miscellanea","Moderate Farmers","Moderate Losers","Moderate Winners","Moderate","Forum","Hardcore"
"Casual Losers/Nov-11","Nov-11",0,1056,0,0,0,0,0,0,0,0,0
"Casual Losers/Nov-11","Dec-11",0,145,157,0,0,131,0,0,70,27,75
"Casual Losers/Nov-11","Jan-12",0,63,69,0,44,36,39,0,0,15,55
"Casual Losers/Nov-11","Feb-12",6,33,50,0,0,36,46,0,0,3,36
"Casual Losers/Nov-11","Mar-12",2,34,36,0,31,24,0,0,0,6,28
"Casual Losers/Nov-11","Apr-12",5,28,38,0,28,22,0,0,0,9,32
"Casual Losers/Nov-11","May-12",10,24,43,0,43,20,0,0,0,9,32
"Casual Losers/Nov-11","Jun-12",0,38,29,0,19,10,22,0,0,12,28
"Casual Losers/Nov-11","Jul-12",0,22,24,0,23,17,22,0,0,10,18
"Casual Losers/Nov-11","Aug-12",0,15,18,0,0,10,10,19,0,0,27
"Casual Losers/Nov-11","Sep-12",0,9,22,0,0,18,13,0,0,7,19
"Casual Losers/Nov-11","Oct-12",0,13,20,0,14,18,0,0,0,5,26
"Casual Losers/Nov-11","Nov-12",0,0,0,23,11,19,0,0,0,1,24
"Casual Losers/Nov-11","Dec-12",0,0,0,15,4,7,0,0,0,2,8
"Casual Winners/Nov-11","Nov-11",0,0,1557,0,0,0,0,0,0,0,0
"Casual Winners/Nov-11","Dec-11",0,179,232,0,0,172,0,0,163,31,109
"Casual Winners/Nov-11","Jan-12",0,74,114,0,65,71,50,0,0,19,70
"Casual Winners/Nov-11","Feb-12",18,42,77,0,0,67,45,0,0,8,47
"Casual Winners/Nov-11","Mar-12",9,32,56,0,35,45,0,0,0,5,46
"Casual Winners/Nov-11","Apr-12",7,34,65,0,45,45,0,0,0,14,51
"Casual Winners/Nov-11","May-12",13,36,69,0,57,47,0,0,0,13,52
"Casual Winners/Nov-11","Jun-12",0,39,60,0,33,26,28,0,0,13,42
"Casual Winners/Nov-11","Jul-12",0,21,52,0,36,27,26,0,0,11,40
"Casual Winners/Nov-11","Aug-12",0,22,26,0,0,16,24,33,0,0,39
"Casual Winners/Nov-11","Sep-12",0,18,33,0,0,43,20,0,0,9,32
