"index","click","Moderate Farmers/Nov-11","Casual Winners/Nov-11","Casual Losers/Nov-11","Forum /Nov-11","Moderate/Nov-11","Hardcore/Nov-11","Casual Winners/Dec-11","Casual Losers/Dec-11","Moderate Farmers/Dec-11","Hardcore/Dec-11","Forum/Dec-11","Moderate/Dec-11","Moderate Losers/Jan-12","Moderate Miscellanea/Jan-12","Casual Losers/Jan-12","Hardcore/Jan-12","Casual Winners/Jan-12","Forum /Jan-12","Moderate Farmers/Jan-12","Moderate Farmers/Feb-12","Moderate Losers/Feb-12","Casual Losers/Feb-12","Hardcore/Feb-12","Casual Winners/Feb-12","Forum /Feb-12","Casual Forum/Feb-12","Casual Forum/Mar-12","Casual Winners/Mar-12","Moderate Miscellanea/Mar-12","Casual Losers/Mar-12","Hardcore/Mar-12","Forum /Mar-12","Moderate Farmers/Mar-12","Casual Winners/Apr-12","Casual Losers/Apr-12","Casual Forum/Apr-12","Moderate Miscellanea/Apr-12","Moderate Farmers/Apr-12","Forum /Apr-12","Hardcore/Apr-12","Hardcore/May-12","Casual Forum/May-12","Casual Winners/May-12","Casual Losers/May-12","Moderate Miscellanea/May-12","Forum /May-12","Moderate Farmers/May-12","Hardcore/Jun-12","Moderate Losers/Jun-12","Moderate Miscellanea/Jun-12","Casual Losers/Jun-12","Moderate Farmers/Jun-12","Forum /Jun-12","Casual Winners/Jun-12","Casual Winners/Jul-12","Moderate Miscellanea/Jul-12","Moderate Farmers/Jul-12","Casual Losers/Jul-12","Forum /Jul-12","Hardcore/Jul-12","Moderate Losers/Jul-12","Hardcore/Aug-12","Casual Losers/Aug-12","Casual Winners/Aug-12","Moderate Losers/Aug-12","Moderate Winners/Aug-12","Moderate Farmers/Aug-12","Casual Winners/Sep-12","Moderate Farmers/Sep-12","Hardcore/Sep-12","Casual Losers/Sep-12","Moderate Losers/Sep-12","Forum /Sep-12","Hardcore/Oct-12","Moderate Farmers/Oct-12","Casual Losers/Oct-12","Forum /Oct-12","Casual Winners/Oct-12","Moderate Miscellanea/Oct-12","Casual/Nov-12","Hardcore/Nov-12","Moderate Farmers/Nov-12","Moderate Miscellanea/Nov-12","Forum /Nov-12","Casual/Dec-12","Moderate Farmers/Dec-12","Moderate Miscellanea/Dec-12","Hardcore/Dec-12","Forum/Dec-12"
"1","Moderate Farmers/Nov-11","984","0","0","0","0","0","88","62","117","194","31","222","68","43","34","88","70","18","78","80","38","15","49","46","5","10","8","34","26","28","44","9","38","46","24","7","41","50","14","45","61","14","40","25","40","14","63","57","29","28","27","26","11","34","35","19","20","19","14","38","24","35","14","20","21","27","27","28","37","32","8","14","6","33","35","10","5","24","9","19","32","22","9","4","10","12","1","10","1"
"2","Casual Winners/Nov-11","0","1557","0","0","0","0","232","179","172","109","31","163","50","65","74","70","114","19","71","67","45","42","47","77","8","18","9","56","35","32","46","5","45","65","34","7","45","45","14","51","52","13","69","36","57","13","47","42","28","33","39","26","13","60","52","36","27","21","11","40","26","39","22","26","24","33","16","33","43","32","18","20","9","30","29","11","13","30","24","38","36","30","25","5","5","15","4","11","2"
"3","Casual Losers/Nov-11","0","0","1056","0","0","0","157","145","131","75","27","70","39","44","63","55","69","15","36","36","46","33","36","50","3","6","2","36","31","34","28","6","24","38","28","5","28","22","9","32","32","10","43","24","43","9","20","28","22","19","38","10","12","29","24","23","17","22","10","18","22","27","15","18","10","19","10","22","18","19","9","13","7","26","18","13","5","20","14","23","24","19","11","1","15","7","4","8","2"
"4","Forum /Nov-11","0","0","0","132","0","0","9","5","12","29","71","6","3","14","3","27","11","39","11","12","6","1","15","8","23","15","12","3","9","3","22","15","10","10","8","11","12","9","23","15","17","9","8","7","11","20","8","18","8","10","3","7","16","8","4","7","5","4","11","18","5","16","2","3","8","7","6","4","8","8","5","1","8","7","7","2","8","7","2","4","8","9","2","7","3","2","1","6","3"
"5","Moderate/Nov-11","0","0","0","0","1030","0","92","93","249","248","52","112","60","88","64","132","90","31","61","74","48","36","101","53","16","13","12","55","60","36","57","11","44","45","37","11","67","29","12","68","72","16","56","42","54","21","36","54","36","46","40","22","24","38","34","42","17","25","7","58","27","49","30","24","26","32","17","32","35","44","17","26","8","47","37","8","6","25","29","28","43","26","18","10","18","6","10","8","2"
"6","Hardcore/Nov-11","0","0","0","0","0","1559","62","36","202","805","91","194","106","87","37","409","78","54","139","140","72","32","263","57","45","15","12","71","76","36","209","32","88","60","33","13","94","57","46","215","225","17","63","38","81","54","76","188","57","50","44","25","57","41","42","59","48","28","38","140","47","128","19","46","34","40","44","37","55","122","26","32","28","114","58","19","26","46","24","38","94","51","34","11","21","13","19","32","6"
"7","Casual Winners/Dec-11","88","232","157","9","92","62","1752","0","0","0","0","0","52","47","119","27","174","21","65","49","39","42","39","79","5","15","8","61","32","40","26","3","34","77","36","12","46","34","7","30","28","13","68","41","54","8","43","28","27","28","47","25","12","57","57","24","21","26","7","24","22","32","25","22","18","24","13","29","40","30","11","13","5","35","22","11","9","25","18","23","32","31","15","6","7","7","7","9","1"
"8","Casual Losers/Dec-11","62","179","145","5","93","36","0","1379","0","0","0","0","79","51","132","33","122","14","36","35","47","62","46","67","3","9","6","72","35","42","32","2","32","68","63","7","42","31","9","31","41","9","69","36","52","9","38","25","35","27","46","14","9","44","54","24","20","24","2","17","24","24","20","23","23","27","21","32","24","16","15","15","10","23","25","16","4","26","20","31","23","25","15","4","8","7","6","9","4"
"9","Moderate Farmers/Dec-11","117","172","131","12","249","202","0","0","1348","0","0","0","110","183","107","139","145","28","101","88","117","59","122","89","19","12","12","79","85","65","81","15","56","71","50","9","105","51","28","75","77","19","77","59","94","28","52","75","37","72","45","28","27","54","55","53","21","29","16","65","29","59","29","41","34","38","20","45","39","55","20","28","11","47","45","16","9","32","29","42","51","35","30","5","23","9","14","18","2"
"10","Hardcore/Dec-11","194","109","75","29","248","805","0","0","0","1843","0","0","140","141","46","643","99","47","186","248","79","37","357","82","37","17","14","99","104","53","283","30","120","76","47","16","114","88","45","303","308","20","69","45","107","51","126","254","76","59","64","53","47","59","49","82","59","34","28","201","61","171","32","53","49","66","53","52","79","157","26","46","23","143","83","14","25","59","42","48","141","65","36","12","31","31","22","37","6"
