"clicked","monthclust","value"
"Moderate Farmers/Nov-11","Moderate Farmers/Nov-11","984"
"Moderate Farmers/Nov-11","Casual Winners/Nov-11","0"
"Moderate Farmers/Nov-11","Casual Losers/Nov-11","0"
"Moderate Farmers/Nov-11","Forum/Nov-11","0"
"Moderate Farmers/Nov-11","Moderate/Nov-11","0"
"Moderate Farmers/Nov-11","Hardcore/Nov-11","0"
"Moderate Farmers/Nov-11","Casual Winners/Dec-11","88"
"Moderate Farmers/Nov-11","Casual Losers/Dec-11","62"
"Moderate Farmers/Nov-11","Moderate Farmers/Dec-11","117"
"Moderate Farmers/Nov-11","Hardcore/Dec-11","194"
"Moderate Farmers/Nov-11","Forum/Dec-11","31"
"Moderate Farmers/Nov-11","Moderate/Dec-11","222"
"Moderate Farmers/Nov-11","Moderate Losers/Jan-12","68"
"Moderate Farmers/Nov-11","Moderate Miscellanea/Jan-12","43"
"Moderate Farmers/Nov-11","Casual Losers/Jan-12","34"
"Moderate Farmers/Nov-11","Hardcore/Jan-12","88"
"Moderate Farmers/Nov-11","Casual Winners/Jan-12","70"
"Moderate Farmers/Nov-11","Forum/Jan-12","18"
"Moderate Farmers/Nov-11","Moderate Farmers/Jan-12","78"
"Moderate Farmers/Nov-11","Moderate Farmers/Feb-12","80"
"Moderate Farmers/Nov-11","Moderate Losers/Feb-12","38"
"Moderate Farmers/Nov-11","Casual Losers/Feb-12","15"
"Moderate Farmers/Nov-11","Hardcore/Feb-12","49"
"Moderate Farmers/Nov-11","Casual Winners/Feb-12","46"
"Moderate Farmers/Nov-11","Forum/Feb-12","5"
"Moderate Farmers/Nov-11","Casual Forum/Feb-12","10"
"Moderate Farmers/Nov-11","Casual Forum/Mar-12","8"
"Moderate Farmers/Nov-11","Casual Winners/Mar-12","34"
"Moderate Farmers/Nov-11","Moderate Miscellanea/Mar-12","26"
"Moderate Farmers/Nov-11","Casual Losers/Mar-12","28"
"Moderate Farmers/Nov-11","Hardcore/Mar-12","44"
"Moderate Farmers/Nov-11","Forum/Mar-12","9"
"Moderate Farmers/Nov-11","Moderate Farmers/Mar-12","38"
"Moderate Farmers/Nov-11","Casual Winners/Apr-12","46"
"Moderate Farmers/Nov-11","Casual Losers/Apr-12","24"
"Moderate Farmers/Nov-11","Casual Forum/Apr-12","7"
"Moderate Farmers/Nov-11","Moderate Miscellanea/Apr-12","41"
"Moderate Farmers/Nov-11","Moderate Farmers/Apr-12","50"
"Moderate Farmers/Nov-11","Forum/Apr-12","14"
"Moderate Farmers/Nov-11","Hardcore/Apr-12","45"
"Moderate Farmers/Nov-11","Hardcore/May-12","61"
"Moderate Farmers/Nov-11","Casual Forum/May-12","14"
"Moderate Farmers/Nov-11","Casual Winners/May-12","40"
"Moderate Farmers/Nov-11","Casual Losers/May-12","25"
"Moderate Farmers/Nov-11","Moderate Miscellanea/May-12","40"
"Moderate Farmers/Nov-11","Forum/May-12","14"
"Moderate Farmers/Nov-11","Moderate Farmers/May-12","63"
"Moderate Farmers/Nov-11","Hardcore/Jun-12","57"
"Moderate Farmers/Nov-11","Moderate Losers/Jun-12","29"
"Moderate Farmers/Nov-11","Moderate Miscellanea/Jun-12","28"
"Moderate Farmers/Nov-11","Casual Losers/Jun-12","27"
"Moderate Farmers/Nov-11","Moderate Farmers/Jun-12","26"
"Moderate Farmers/Nov-11","Forum/Jun-12","11"
"Moderate Farmers/Nov-11","Casual Winners/Jun-12","34"
"Moderate Farmers/Nov-11","Casual Winners/Jul-12","35"
"Moderate Farmers/Nov-11","Moderate Miscellanea/Jul-12","19"
"Moderate Farmers/Nov-11","Moderate Farmers/Jul-12","20"
"Moderate Farmers/Nov-11","Casual Losers/Jul-12","19"
"Moderate Farmers/Nov-11","Forum/Jul-12","14"
"Moderate Farmers/Nov-11","Hardcore/Jul-12","38"
"Moderate Farmers/Nov-11","Moderate Losers/Jul-12","24"
"Moderate Farmers/Nov-11","Hardcore/Aug-12","35"
"Moderate Farmers/Nov-11","Casual Losers/Aug-12","14"
"Moderate Farmers/Nov-11","Casual Winners/Aug-12","20"
"Moderate Farmers/Nov-11","Moderate Losers/Aug-12","21"
"Moderate Farmers/Nov-11","Moderate Winners/Aug-12","27"
"Moderate Farmers/Nov-11","Moderate Farmers/Aug-12","27"
"Moderate Farmers/Nov-11","Casual Winners/Sep-12","28"
"Moderate Farmers/Nov-11","Moderate Farmers/Sep-12","37"
"Moderate Farmers/Nov-11","Hardcore/Sep-12","32"
"Moderate Farmers/Nov-11","Casual Losers/Sep-12","8"
"Moderate Farmers/Nov-11","Moderate Losers/Sep-12","14"
"Moderate Farmers/Nov-11","Forum/Sep-12","6"
"Moderate Farmers/Nov-11","Hardcore/Oct-12","33"
"Moderate Farmers/Nov-11","Moderate Farmers/Oct-12","35"
"Moderate Farmers/Nov-11","Casual Losers/Oct-12","10"
"Moderate Farmers/Nov-11","Forum/Oct-12","5"
"Moderate Farmers/Nov-11","Casual Winners/Oct-12","24"
