source,target,value,sourceMon,
0,6,112,11-Nov,
0,7,249,11-Nov,
0,8,93,11-Nov,
0,9,52,11-Nov,
0,10,92,11-Nov,
0,11,248,11-Nov,
1,6,6,11-Nov,
1,7,12,11-Nov,
1,8,5,11-Nov,
1,9,71,11-Nov,
1,10,9,11-Nov,
1,11,29,11-Nov,
2,6,194,11-Nov,
2,7,202,11-Nov,
2,8,36,11-Nov,
2,9,91,11-Nov,
2,10,62,11-Nov,
2,11,805,11-Nov,
3,6,70,11-Nov,
3,7,131,11-Nov,
3,8,145,11-Nov,
3,9,27,11-Nov,
3,10,157,11-Nov,
3,11,75,11-Nov,
4,6,163,11-Nov,
4,7,172,11-Nov,
4,8,179,11-Nov,
4,9,31,11-Nov,
4,10,232,11-Nov,
4,11,109,11-Nov,
5,6,222,11-Nov,
5,7,117,11-Nov,
5,8,62,11-Nov,
5,9,31,11-Nov,
5,10,88,11-Nov,
5,11,194,11-Nov,
6,12,136,11-Dec,
6,13,13,11-Dec,
6,14,71,11-Dec,
6,15,129,11-Dec,
6,16,93,11-Dec,
6,17,58,11-Dec,
6,18,80,11-Dec,
7,12,101,11-Dec,
7,13,28,11-Dec,
7,14,107,11-Dec,
7,15,145,11-Dec,
7,16,110,11-Dec,
7,17,183,11-Dec,
7,18,139,11-Dec,
8,12,36,11-Dec,
8,13,14,11-Dec,
8,14,132,11-Dec,
8,15,122,11-Dec,
8,16,79,11-Dec,
8,17,51,11-Dec,
8,18,33,11-Dec,
9,12,30,11-Dec,
9,13,121,11-Dec,
9,14,24,11-Dec,
9,15,27,11-Dec,
9,16,22,11-Dec,
9,17,36,11-Dec,
9,18,102,11-Dec,
10,12,65,11-Dec,
10,13,21,11-Dec,
10,14,119,11-Dec,
10,15,174,11-Dec,
10,16,52,11-Dec,
10,17,47,11-Dec,
10,18,27,11-Dec,
11,12,186,11-Dec,
11,13,47,11-Dec,
11,14,46,11-Dec,
11,15,99,11-Dec,
11,16,140,11-Dec,
11,17,141,11-Dec,
11,18,643,11-Dec,
12,19,65,12-Jan,
12,20,49,12-Jan,
12,21,103,12-Jan,
12,22,4,12-Jan,
12,23,35,12-Jan,
12,24,24,12-Jan,
12,25,5,12-Jan,
13,19,12,12-Jan,
13,20,45,12-Jan,
13,21,28,12-Jan,
13,22,72,12-Jan,
13,23,19,12-Jan,
